host_name,area,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Melissa And Kurt,Phra Nakhon,13.76473,100.49718,Entire home/apt,935,30,34,2022-06-19,1,255,1
Suchela,Phaya Thai,13.78761,100.55319,Entire home/apt,623,365,0,2021-09-16,2,365,0
Chok,Sathon,13.70644,100.52544,Entire home/apt,1212,21,0,2020-12-15,2,365,0
Apipu,Phaya Thai,13.79221,100.54631,Private room,399,1,33,2020-03-15,1,0,0
Atsanai,Chatu Chak,13.79844,100.55726,Entire home/apt,591,365,0,2017-08-08,1,365,0
Anchana,Bang Rak,13.72007,100.51711,Private room,1300,30,3,2015-01-01,4,365,0
Anchana,Bang Rak,13.72063,100.51611,Private room,1300,30,0,2016-12-18,4,365,0
Chok,Sathon,13.72075,100.53993,Entire home/apt,1558,21,2,2018-12-05,2,364,0
Julia,Khlong San,13.72077,100.51202,Entire home/apt,3281,360,37,2018-04-30,2,364,0
Tash,Vadhana,13.73332,100.57099,Entire home/apt,2220,21,58,2022-11-18,2,346,2
Sirikamol,Dusit,13.77073,100.50478,Private room,7500,1,0,2022-12-01,3,365,0
Wimonpak,Sathon,13.71425,100.51332,Entire home/apt,703,1,206,2022-12-14,41,355,6
Marc,Vadhana,13.74283,100.58651,Entire home/apt,1974,180,0,2022-11-27,1,365,0
Salvatore,Sathon,13.72027,100.52851,Entire home/apt,3757,2,135,2022-11-11,7,144,3
Eva,Khlong Toei,13.72242,100.57962,Entire home/apt,1489,30,81,2022-10-07,1,0,3
Fr,Samphanthawong,13.73989,100.50179,Private room,1732,5,1,2013-08-18,1,365,0
Ingo,Vadhana,13.74618,100.55168,Private room,9600,28,1,2017-06-19,2,365,0
Wimonpak,Sathon,13.71506,100.51319,Entire home/apt,1100,100,117,2019-05-30,41,365,0
Wimonpak,Sathon,13.7133,100.51337,Entire home/apt,1100,1,146,2020-03-02,41,167,0
Yair,Suanluang,13.72383,100.61609,Entire home/apt,1306,28,2,2015-01-15,4,347,0
Susie,Phaya Thai,13.78064,100.54393,Entire home/apt,1385,3,7,2017-07-26,1,348,0
Yair,Suanluang,13.7234,100.61828,Entire home/apt,1212,10,10,2017-08-10,10,365,0
Nulek,Khlong Toei,13.72062,100.58019,Entire home/apt,1732,2,0,2017-04-17,1,347,0
Benz,Bang Kho laen,13.7016,100.50262,Entire home/apt,4800,2,18,2016-12-24,2,357,0
Yair,Suanluang,13.72158,100.61654,Entire home/apt,999,10,11,2022-10-31,4,358,2
Ingo,Vadhana,13.73668,100.56693,Entire home/apt,4156,28,4,2015-08-11,2,271,0
Anchalee,Bang Kapi,13.75878,100.64988,Entire home/apt,519,4,1,2016-11-09,1,181,0
Arnaud,Khlong Toei,13.73684,100.55488,Private room,1500,7,0,2019-11-26,1,365,0
Gerald,Bang Rak,13.72543,100.53838,Entire home/apt,5195,3,95,2022-12-13,1,236,14
Nim,Bang Na,13.67826,100.60592,Entire home/apt,1750,28,0,2022-12-12,2,365,0
Ann,Din Daeng,13.78499,100.56958,Entire home/apt,2000,2,26,2022-12-11,1,336,2
Niramol,Huai Khwang,13.74538,100.59943,Entire home/apt,888,7,53,2022-12-06,8,127,7
Rae And Charlie,Bang Sue,13.83148,100.52151,Entire home/apt,1000,3,7,2017-05-12,7,146,0
Rae And Charlie,Bang Sue,13.83148,100.52307,Entire home/apt,1200,3,21,2022-12-22,7,124,1
Chonnikan,Bang Rak,13.72425,100.53087,Entire home/apt,2147,5,101,2022-12-14,2,221,10
Siri,Khlong Toei,13.70486,100.60152,Entire home/apt,850,21,33,2022-10-23,3,294,1
Hab,Din Daeng,13.77126,100.57088,Private room,1200,2,0,2022-11-06,1,365,0
Wimonpak,Sathon,13.71628,100.51238,Entire home/apt,950,1,109,2022-11-21,41,358,5
Sujin,Sathon,13.71972,100.54924,Entire home/apt,1693,30,25,2022-12-03,2,176,4
Notee,Khlong Toei,13.72393,100.57647,Entire home/apt,3300,5,26,2022-12-18,3,13,9
Anis,Suanluang,13.73789,100.64271,Private room,850,1,8,2022-06-30,10,365,1
Anis,Suanluang,13.73613,100.64319,Private room,1050,1,0,2021-02-07,10,365,0
Anis,Bueng Kum,13.78327,100.67124,Private room,700,1,3,2019-09-19,10,365,0
Anis,Bang Phlat,13.80698,100.5121,Private room,1050,1,0,2020-06-16,10,365,0
Anis,Bang Phlat,13.80657,100.51192,Private room,1050,1,0,2021-03-15,10,365,0
Anis,Bang Phlat,13.80685,100.5125,Private room,1050,1,0,2021-12-11,10,365,0
Jay,Sathon,13.71663,100.52864,Entire home/apt,868,4,97,2022-09-09,1,330,11
Jirajate,Wang Thong Lang,13.77933,100.61957,Private room,4873,1,0,2021-10-18,1,365,0
Catroom,Bang Rak,13.7318,100.52351,Private room,980,1,0,2020-11-27,1,365,0
Weerakorn,Chatu Chak,13.82824,100.56594,Entire home/apt,1054,28,20,2020-01-07,6,180,0
Peter,Huai Khwang,13.74742,100.56678,Entire home/apt,1020,29,12,2022-08-31,2,318,3
Yair,Suanluang,13.72347,100.61812,Entire home/apt,1004,10,6,2017-07-25,10,365,0
Jeremy,Nong Chok,13.77672,100.83851,Entire home/apt,8658,1,1,2015-09-03,2,365,0
Jeab,Khlong San,13.72174,100.50769,Entire home/apt,1635,3,88,2022-11-22,1,56,8
Jeremy,Nong Chok,13.77624,100.83931,Entire home/apt,3463,2,1,2016-03-10,2,363,0
Donald,Khlong San,13.72135,100.508,Entire home/apt,7929,2,256,2022-12-15,1,267,43
Evan,Sathon,13.72065,100.54713,Entire home/apt,850,1,278,2022-12-12,37,293,10
Rae And Charlie,Bang Sue,13.83235,100.5228,Entire home/apt,1500,3,37,2019-12-18,7,107,0
Sue,Yan na wa,13.67907,100.52887,Entire home/apt,935,28,26,2019-05-18,5,331,0
Artra,Din Daeng,13.78588,100.56957,Entire home/apt,1504,2,167,2022-12-04,1,360,5
Sue,Khlong San,13.72162,100.5075,Entire home/apt,2251,7,91,2022-11-20,5,314,2
Rae And Charlie,Bang Sue,13.82955,100.52119,Entire home/apt,1000,3,0,2022-11-20,7,146,0
Carlos,Bang Rak,13.72479,100.53039,Private room,728,21,11,2022-11-20,2,316,4
Piya,Khlong Toei,13.71166,100.59326,Entire home/apt,1143,360,31,2018-08-14,8,89,0
Suchela,Khlong Toei,13.7142,100.59233,Entire home/apt,866,120,0,2020-10-17,2,365,0
Pemigar,Ratchathewi,13.74978,100.53301,Entire home/apt,1009,3,113,2022-12-21,5,57,3
Carlos,Bang Rak,13.72386,100.52563,Private room,800,180,0,2022-06-18,2,365,0
Nokina,Chatu Chak,13.83028,100.57065,Entire home/apt,866,4,9,2021-12-14,2,0,0
Annie,Bang Na,13.65979,100.60643,Private room,700,1,4,2016-09-06,1,365,0
Evan,Sathon,13.72074,100.54712,Entire home/apt,800,1,192,2020-02-28,37,346,0
Evan,Sathon,13.72062,100.54707,Entire home/apt,609,1,156,2022-11-20,37,312,7
Jirapha,Parthum Wan,13.74381,100.54792,Entire home/apt,2250,7,92,2022-12-15,1,70,8
GrongGaew,Suanluang,13.73693,100.61644,Private room,1004,2,0,2021-08-10,4,365,0
Dujdao,Bang Na,13.65441,100.64548,Private room,797,1,0,2020-04-05,1,362,0
Hataipat,Khlong San,13.71847,100.50914,Entire home/apt,3067,45,2,2018-11-30,5,0,0
Hataipat,Khlong San,13.71672,100.5092,Entire home/apt,1286,5,75,2020-02-27,5,0,0
Kia,Chatu Chak,13.79616,100.56478,Private room,1636,2,0,2021-07-15,1,179,0
Pantanida,Huai Khwang,13.79216,100.57502,Entire home/apt,540,28,25,2022-12-02,1,10,3
Kiattisak,Phra Khanong,13.69784,100.60635,Entire home/apt,999,5,103,2022-12-11,53,336,13
Kostas,Ratchathewi,13.75409,100.53552,Entire home/apt,3587,7,0,2022-03-21,1,270,0
